text1,text2,Actual,Predicted
Cinder became Cinderella and poor Ella became nonexistent to her mother.,A clever twist on the classic Cinderella story.,0.656000018119812,0.07811582088470459
The launch coincides with the JavaOne developers' conference in San Francisco this week.,The news also comes in conjunction with Suns annual JavaOne developers conference in San Francisco.,0.75,0.4600958824157715
It's been over an hour and no word from Travis.,For an hour or so. I asked around about Goldie.,0.21899999678134918,-0.06575918197631836
A man sits behind a music stand playing the guitar while people perform in the background.,Colorfully dressed female dancers are performing on stage with a background of stars.,0.4059999883174896,0.006098628044128418
Guys can be weird. I should know.,Guys can be wierd; I should know.,1.0,0.39256203174591064
Three girls performing a routine on stage.,Three musicians perform on their guitars while singing.,0.625,-0.09142804145812988
Donald Trump inhaled so much air spray & started to believe he is the title holder for the United States.,"Well, someone's doing the raping. I get combed and gooped up so much, Donald's the one doing the raping. He never understands.",0.3440000116825104,0.020174622535705566
People: Donald Trump is a man who can lead this country into the future.,@AnnCoulter @realDonaldTrump The Media will try to discredit him. Democrats and GOP will attack him. America will Stand with him.,0.531000018119812,-0.03567147254943848
A bicyclist catches some air,a guy and a girl running.,0.21899999678134918,-0.03836497664451599
There was a lot of information that I did not find helpful at all.,"It is, well...a whole bunch of stuff...ik ik that did not help at all...but so what?",0.6880000233650208,0.06909036636352539
You'll find it a block down the street around the corner on the right.,You dress like a prostitute who stands on the street corner.,0.25,-0.35875342786312103
Everything about Frosty and Milla made it my favorite out of the four.,A Mad Zombie Party is through the perspective's of Frosty and Milla.,0.531000018119812,0.1283433437347412
"However, she cares enough not to hurt you ego.",that way it's just long enough to pull and have it hurt.,0.2809999883174896,-0.3056788742542267
This isn't an English sentence.,Life isn't always like that.,0.06199999898672104,-0.4610198140144348
The problem with this book was that the author was TOO GOOD at making Ian bad in the first book.,"Ian Ranulf has been exiled from his werewolf clan for over seventy years, since he refused to fight his grandfather for the alpha position.",0.4059999883174896,-0.06208696961402893
i aint listenin to a guy trying to pick me up!,"Dude, they are trying to pick someone up on the Internet!",0.4059999883174896,0.16317218542099
Just go to iTunes and find iPod and put the music on it again.,Does anyone know how to put pictures on an Ipod Nano?,0.3440000116825104,0.11083263158798218
"Prior to its dissolution , Air Kazakhstan was headquartered in Almaty .","Mesa Air Group , a regional airline group , is headquartered in Phoenix .",0.4059999883174896,0.06957072019577026
@politicspizza @RebeccahLouise @ProLifeYouth women being independent and making their own CHOICES,"@gvandersee 100,000 (estimated) ozzie abortions of vulnerable, unwanted ""unlife"" right there. Value & Respect life. #deathpenalty",0.43799999356269836,0.10895484685897827
The Romanesque style in England is more traditionally referred to as Norman architecture .,This style was heavily influenced by the Byzantine religious architecture with its use of large central domes .,0.4059999883174896,0.2112257480621338
"Hillary Clinton keeps sending me emails, and when I try to unsubscribe, I get an error message. THIS IS CANCER",@pikester45 Exactly what I don't want to see happen in America.,0.2329999953508377,-0.17964282631874084
A topless mannequin is photographed next to a blue car.,A topless woman with her face painted is covered in mud.,0.625,-0.18650653958320618
And then last year he dumped me for good.,"Unlike last year, this year's contestants are not that good.",0.15600000321865082,-0.3414076268672943
Three friends have fun bicycling.,Three dogs playing in a yard together.,0.21899999678134918,-0.12705034017562866
"However , unlike other organisms , a virus can not survive on its own .",A virus is unable to replicate on its own or use `` raw '' materials on which to survive .,0.6880000233650208,0.3583972454071045
I have just learned that I am pregnant and I am blaming you.,I just found out I am pregnant and it is your fault!!!,0.968999981880188,0.4535808563232422
RT @reel_fisherman6: I think Donald would bring this country back to where we used to be,"Unlike Obama, @realDonaldTrump doesn't need a teleprompter.",0.4690000116825104,0.012438774108886719
I know it's the author's preferred text edition but seriously.,"Because I'd already read it before, I decided to try out the full cast audio version, with the addition of the author's preferred text.",0.5,0.11287474632263184
A girl with her hair flying up from her head poses on a skateboard,"A woman, playing music, smiles as a crowd surrounds her.",0.4059999883174896,-0.15318799018859863
"I would love to hear Eyes on Me by Faye Wong, please put it on.","Eyes on Me, Faye Wong, now!",0.8119999766349792,0.2094331979751587
Fedora Linux was eventually absorbed into the Fedora Project .,None of these distributions are maintained by the Fedora Project .,0.5350000262260437,0.3997989892959595
Reasons shall be given for any decision amending or revoking an authorisation.,the decision to cancel or change the authorisation shall indicate the reasons.,0.75,0.36313772201538086
"Only in a SEXIST AS FUK world would we question the ""qualifications"" of a former SECRETARY OF STATE.",@TheDemocrats @DNCWomen I'm down to help for 2016 election.,0.375,-0.33420565724372864
She speaks both Swedish and Russian .,"Her mother , Irina , is Russian , and her father Swedish .",0.4690000116825104,0.048159241676330566
We will aid your safe entry into the palace.,we'll help you get to the palace safely.,0.843999981880188,0.36538243293762207
"If you are ok with reading logical processes that seem a little too perfect at the time, then you will enjoy this book.","It was the first RPG styled book that I've read, which was new for me.",0.2809999883174896,0.02573871612548828
